generation_no,run_desc,population_size,Sum of fitness
57,Improved Algorithm,120,-10
57,Standard Algorithm,15,-495
57,Standard Algorithm,30,-210
57,Standard Algorithm,60,-85
57,Standard Algorithm,120,-100
58,Improved Algorithm,15,-335
58,Improved Algorithm,30,-60
58,Improved Algorithm,60,-90
58,Improved Algorithm,120,-10
58,Standard Algorithm,15,-495
58,Standard Algorithm,30,-210
58,Standard Algorithm,60,-85
58,Standard Algorithm,120,-95
59,Improved Algorithm,15,-335
59,Improved Algorithm,30,-60
59,Improved Algorithm,60,-90
59,Improved Algorithm,120,-10
59,Standard Algorithm,15,-495
59,Standard Algorithm,30,-205
59,Standard Algorithm,60,-60
59,Standard Algorithm,120,-85
60,Improved Algorithm,15,-335
60,Improved Algorithm,30,-60
60,Improved Algorithm,60,-90
60,Improved Algorithm,120,-10
60,Standard Algorithm,15,-495
60,Standard Algorithm,30,-185
60,Standard Algorithm,60,-60
60,Standard Algorithm,120,-85
61,Improved Algorithm,15,-335
61,Improved Algorithm,30,-55
61,Improved Algorithm,60,-80
61,Improved Algorithm,120,-5
61,Standard Algorithm,15,-495
61,Standard Algorithm,30,-185
61,Standard Algorithm,60,-60
61,Standard Algorithm,120,-85
62,Improved Algorithm,15,-335
62,Improved Algorithm,30,-45
62,Improved Algorithm,60,-80
62,Improved Algorithm,120,-5
62,Standard Algorithm,15,-495
62,Standard Algorithm,30,-185
62,Standard Algorithm,60,-60
62,Standard Algorithm,120,-85
63,Improved Algorithm,15,-335
63,Improved Algorithm,30,-45
63,Improved Algorithm,60,-80
63,Improved Algorithm,120,-5
63,Standard Algorithm,15,-495
63,Standard Algorithm,30,-185
63,Standard Algorithm,60,-60
63,Standard Algorithm,120,-75
64,Improved Algorithm,15,-335
64,Improved Algorithm,30,-45
64,Improved Algorithm,60,-75
64,Improved Algorithm,120,-5
64,Standard Algorithm,15,-495
64,Standard Algorithm,30,-185
64,Standard Algorithm,60,-60
64,Standard Algorithm,120,-75
65,Improved Algorithm,15,-335
65,Improved Algorithm,30,-45
65,Improved Algorithm,60,-75
65,Improved Algorithm,120,5
65,Standard Algorithm,15,-495
65,Standard Algorithm,30,-185
65,Standard Algorithm,60,-60
65,Standard Algorithm,120,-65
66,Improved Algorithm,15,-335
66,Improved Algorithm,30,-40
66,Improved Algorithm,60,-70
66,Improved Algorithm,120,5
66,Standard Algorithm,15,-495
66,Standard Algorithm,30,-180
66,Standard Algorithm,60,-50
66,Standard Algorithm,120,-65
67,Improved Algorithm,15,-335
67,Improved Algorithm,30,-40
67,Improved Algorithm,60,-70
67,Improved Algorithm,120,5
67,Standard Algorithm,15,-495
67,Standard Algorithm,30,-165
67,Standard Algorithm,60,-50
67,Standard Algorithm,120,-65
68,Improved Algorithm,15,-335
68,Improved Algorithm,30,-40
68,Improved Algorithm,60,-65
68,Improved Algorithm,120,10
68,Standard Algorithm,15,-495
68,Standard Algorithm,30,-165
68,Standard Algorithm,60,-35
68,Standard Algorithm,120,-60
69,Improved Algorithm,15,-335
69,Improved Algorithm,30,-40
69,Improved Algorithm,60,-65
69,Improved Algorithm,120,15
69,Standard Algorithm,15,-495
69,Standard Algorithm,30,-165
69,Standard Algorithm,60,-35
69,Standard Algorithm,120,-60
70,Improved Algorithm,15,-335
70,Improved Algorithm,30,-40
70,Improved Algorithm,60,-60
70,Improved Algorithm,120,20
70,Standard Algorithm,15,-495
70,Standard Algorithm,30,-165
70,Standard Algorithm,60,-35
70,Standard Algorithm,120,-60
71,Improved Algorithm,15,-335
71,Improved Algorithm,30,-35
71,Improved Algorithm,60,-60
71,Improved Algorithm,120,35
71,Standard Algorithm,15,-495
71,Standard Algorithm,30,-160
71,Standard Algorithm,60,-30
71,Standard Algorithm,120,-50
72,Improved Algorithm,15,-335
72,Improved Algorithm,30,-35
72,Improved Algorithm,60,-55
72,Improved Algorithm,120,35
72,Standard Algorithm,15,-495
72,Standard Algorithm,30,-160
72,Standard Algorithm,60,-30
72,Standard Algorithm,120,-45
73,Improved Algorithm,15,-335
73,Improved Algorithm,30,-35
73,Improved Algorithm,60,-55
73,Improved Algorithm,120,35
