generation_no,run_desc,population_size,Sum of fitness
61,Improved Algorithm,30,-340
61,Improved Algorithm,60,-200
61,Improved Algorithm,120,-195
61,Standard Algorithm,15,-1065
61,Standard Algorithm,30,-545
61,Standard Algorithm,60,-360
61,Standard Algorithm,120,-235
62,Improved Algorithm,15,-690
62,Improved Algorithm,30,-320
62,Improved Algorithm,60,-190
62,Improved Algorithm,120,-185
62,Standard Algorithm,15,-1065
62,Standard Algorithm,30,-545
62,Standard Algorithm,60,-340
62,Standard Algorithm,120,-230
63,Improved Algorithm,15,-690
63,Improved Algorithm,30,-300
63,Improved Algorithm,60,-190
63,Improved Algorithm,120,-155
63,Standard Algorithm,15,-1065
63,Standard Algorithm,30,-545
63,Standard Algorithm,60,-340
63,Standard Algorithm,120,-230
64,Improved Algorithm,15,-690
64,Improved Algorithm,30,-300
64,Improved Algorithm,60,-190
64,Improved Algorithm,120,-155
64,Standard Algorithm,15,-1065
64,Standard Algorithm,30,-530
64,Standard Algorithm,60,-325
64,Standard Algorithm,120,-205
65,Improved Algorithm,15,-690
65,Improved Algorithm,30,-280
65,Improved Algorithm,60,-180
65,Improved Algorithm,120,-150
65,Standard Algorithm,15,-1065
65,Standard Algorithm,30,-530
65,Standard Algorithm,60,-320
65,Standard Algorithm,120,-205
66,Improved Algorithm,15,-690
66,Improved Algorithm,30,-280
66,Improved Algorithm,60,-180
66,Improved Algorithm,120,-150
66,Standard Algorithm,15,-1065
66,Standard Algorithm,30,-515
66,Standard Algorithm,60,-320
66,Standard Algorithm,120,-205
67,Improved Algorithm,15,-690
67,Improved Algorithm,30,-280
67,Improved Algorithm,60,-175
67,Improved Algorithm,120,-145
67,Standard Algorithm,15,-1065
67,Standard Algorithm,30,-515
67,Standard Algorithm,60,-320
67,Standard Algorithm,120,-205
68,Improved Algorithm,15,-690
68,Improved Algorithm,30,-275
68,Improved Algorithm,60,-165
68,Improved Algorithm,120,-145
68,Standard Algorithm,15,-1065
68,Standard Algorithm,30,-495
68,Standard Algorithm,60,-315
68,Standard Algorithm,120,-205
69,Improved Algorithm,15,-690
69,Improved Algorithm,30,-275
69,Improved Algorithm,60,-160
69,Improved Algorithm,120,-145
69,Standard Algorithm,15,-1065
69,Standard Algorithm,30,-495
69,Standard Algorithm,60,-310
69,Standard Algorithm,120,-200
70,Improved Algorithm,15,-690
70,Improved Algorithm,30,-255
70,Improved Algorithm,60,-155
70,Improved Algorithm,120,-135
70,Standard Algorithm,15,-1020
70,Standard Algorithm,30,-495
70,Standard Algorithm,60,-310
70,Standard Algorithm,120,-200
71,Improved Algorithm,15,-690
71,Improved Algorithm,30,-255
71,Improved Algorithm,60,-150
71,Improved Algorithm,120,-120
71,Standard Algorithm,15,-1020
71,Standard Algorithm,30,-480
71,Standard Algorithm,60,-310
71,Standard Algorithm,120,-195
72,Improved Algorithm,15,-690
72,Improved Algorithm,30,-255
72,Improved Algorithm,60,-150
72,Improved Algorithm,120,-120
72,Standard Algorithm,15,-1020
72,Standard Algorithm,30,-470
72,Standard Algorithm,60,-290
72,Standard Algorithm,120,-195
73,Improved Algorithm,15,-690
73,Improved Algorithm,30,-240
73,Improved Algorithm,60,-150
73,Improved Algorithm,120,-120
73,Standard Algorithm,15,-1020
73,Standard Algorithm,30,-470
73,Standard Algorithm,60,-290
73,Standard Algorithm,120,-185
74,Improved Algorithm,15,-690
74,Improved Algorithm,30,-240
74,Improved Algorithm,60,-150
74,Improved Algorithm,120,-110
74,Standard Algorithm,15,-1020
74,Standard Algorithm,30,-460
74,Standard Algorithm,60,-290
74,Standard Algorithm,120,-180
75,Improved Algorithm,15,-690
75,Improved Algorithm,30,-230
75,Improved Algorithm,60,-150
75,Improved Algorithm,120,-110
75,Standard Algorithm,15,-1020
75,Standard Algorithm,30,-460
75,Standard Algorithm,60,-290
75,Standard Algorithm,120,-180
76,Improved Algorithm,15,-690
76,Improved Algorithm,30,-230
76,Improved Algorithm,60,-150
76,Improved Algorithm,120,-105
76,Standard Algorithm,15,-1020
76,Standard Algorithm,30,-460
76,Standard Algorithm,60,-290
76,Standard Algorithm,120,-160
77,Improved Algorithm,15,-690
77,Improved Algorithm,30,-220
77,Improved Algorithm,60,-150
77,Improved Algorithm,120,-95
77,Standard Algorithm,15,-1020
77,Standard Algorithm,30,-450
77,Standard Algorithm,60,-280
77,Standard Algorithm,120,-160
78,Improved Algorithm,15,-690
78,Improved Algorithm,30,-220
78,Improved Algorithm,60,-140
78,Improved Algorithm,120,-90
78,Standard Algorithm,15,-1020
78,Standard Algorithm,30,-450
78,Standard Algorithm,60,-260
78,Standard Algorithm,120,-160
79,Improved Algorithm,15,-690
79,Improved Algorithm,30,-210
79,Improved Algorithm,60,-140
79,Improved Algorithm,120,-80
79,Standard Algorithm,15,-1020
79,Standard Algorithm,30,-450
79,Standard Algorithm,60,-260
79,Standard Algorithm,120,-160
80,Improved Algorithm,15,-690
80,Improved Algorithm,30,-210
80,Improved Algorithm,60,-135
80,Improved Algorithm,120,-80
80,Standard Algorithm,15,-1020
80,Standard Algorithm,30,-450
80,Standard Algorithm,60,-260
80,Standard Algorithm,120,-160
81,Improved Algorithm,15,-690
81,Improved Algorithm,30,-210
81,Improved Algorithm,60,-130
81,Improved Algorithm,120,-75
81,Standard Algorithm,15,-1020
81,Standard Algorithm,30,-450
81,Standard Algorithm,60,-260
81,Standard Algorithm,120,-135
82,Improved Algorithm,15,-690
82,Improved Algorithm,30,-210
82,Improved Algorithm,60,-125
82,Improved Algorithm,120,-65
82,Standard Algorithm,15,-1020
82,Standard Algorithm,30,-450
82,Standard Algorithm,60,-250
82,Standard Algorithm,120,-135
83,Improved Algorithm,15,-690
83,Improved Algorithm,30,-210
83,Improved Algorithm,60,-115
83,Improved Algorithm,120,-65
83,Standard Algorithm,15,-1020
83,Standard Algorithm,30,-440
83,Standard Algorithm,60,-250
83,Standard Algorithm,120,-130
84,Improved Algorithm,15,-690
84,Improved Algorithm,30,-210
84,Improved Algorithm,60,-115
